Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Duration,Total_Stops,Price
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,16:55,1050,1 stop,25735
Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,06:45,330,1 stop,23677
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,14:05,1090,1 stop,22270
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,14:05,1220,1 stop,20800
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,11:40,1310,1 stop,25735
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,07:00,550,1 stop,26890
GoAir,2019-01-03,Banglore,New Delhi,BLR → DEL,07:45,175,non-stop,13663
SpiceJet,2019-01-03,Kolkata,Banglore,CCU → BLR,17:15,150,non-stop,5515
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,07:00,860,1 stop,27992
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,22:50,640,1 stop,31825
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,22:50,530,1 stop,26890
IndiGo,2019-01-03,Banglore,New Delhi,BLR → DEL,23:30,170,non-stop,10067
Air India,2019-01-03,Banglore,New Delhi,BLR → CCU → GAU → DEL,11:05,665,2 stops,13576
Jet Airways Business,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,05:45,300,1 stop,52229
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,18:40,890,1 stop,31825
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,22:50,755,1 stop,31825
IndiGo,2019-01-03,Banglore,New Delhi,BLR → DEL,22:20,170,non-stop,11934
Air India,2019-01-03,Banglore,New Delhi,BLR → CCU → GAU → DEL,05:50,980,2 stops,13576
Air India,2019-01-03,Banglore,New Delhi,BLR → MAA → DEL,11:50,1510,1 stop,15434
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,11:40,1200,1 stop,22270
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → DEL,19:55,160,non-stop,18308
IndiGo,2019-01-03,Banglore,New Delhi,BLR → DEL,13:00,170,non-stop,19685
Air India,2019-01-03,Banglore,New Delhi,BLR → DEL,21:10,165,non-stop,25703
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,08:55,1210,1 stop,26890
Air India,2019-01-03,Banglore,New Delhi,BLR → DEL,06:10,165,non-stop,15676
Air India,2019-01-03,Banglore,New Delhi,BLR → BBI → DEL,09:30,855,1 stop,12704
Air India,2019-01-03,Banglore,New Delhi,BLR → HYD → DEL,17:00,1155,1 stop,10246
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,07:00,800,1 stop,27992
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,22:50,1350,1 stop,25735
Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → NAG → DEL,08:50,1545,2 stops,31783
Vistara,2019-01-03,Banglore,New Delhi,BLR → DEL,07:00,160,non-stop,21520
Air India,2019-01-03,Banglore,New Delhi,BLR → CCU → DEL,05:50,1645,1 stop,13439
IndiGo,2019-01-03,Kolkata,Banglore,CCU → BLR,17:15,160,non-stop,6565
IndiGo,2019-01-03,Banglore,New Delhi,BLR → HYD → DEL,05:15,285,1 stop,8064
Jet Airways Business,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,05:45,400,1 stop,62427
IndiGo,2019-01-03,Kolkata,Banglore,CCU → BLR,14:20,155,non-stop,6565
SpiceJet,2019-01-03,Chennai,Kolkata,MAA → CCU,08:20,135,non-stop,7298
Vistara,2019-01-03,Banglore,New Delhi,BLR → DEL,11:30,160,non-stop,12648
Air India,2019-01-03,Banglore,New Delhi,BLR → CCU → BBI → DEL,05:50,630,2 stops,15119
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,08:00,435,1 stop,22270
Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → AMD → DEL,08:50,2345,2 stops,17135
Air India,2019-01-03,Banglore,New Delhi,BLR → VGA → DEL,10:30,1490,1 stop,11528
IndiGo,2019-01-03,Banglore,New Delhi,BLR → DEL,07:10,175,non-stop,11934
Air India,2019-01-03,Banglore,New Delhi,BLR → DEL,13:20,170,non-stop,12526
Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → BHO → DEL,08:50,1475,2 stops,25430
Vistara,2019-01-03,Banglore,New Delhi,BLR → DEL,21:10,175,non-stop,21730
Multiple carriers,2019-01-03,Delhi,Cochin,DEL → BOM → COK,12:50,385,1 stop,36983
GoAir,2019-01-03,Banglore,New Delhi,BLR → DEL,20:55,175,non-stop,18558
Air India,2019-01-03,Banglore,New Delhi,BLR → CCU → BBI → HYD → DEL,05:50,1620,3 stops,13081
Air India,2019-01-03,Banglore,New Delhi,BLR → AMD → DEL,00:30,1200,1 stop,14752
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,08:00,490,1 stop,22270
IndiGo,2019-01-03,Banglore,New Delhi,BLR → DEL,18:55,170,non-stop,14306
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,14:05,1280,1 stop,20800
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,14:05,305,1 stop,36235
IndiGo,2019-01-03,Banglore,New Delhi,BLR → HYD → DEL,16:15,260,1 stop,7917
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,05:45,875,1 stop,27992
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,05:45,935,1 stop,27992
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,22:50,695,1 stop,31825
Air India,2019-01-03,Banglore,New Delhi,BLR → HYD → DEL,17:00,950,1 stop,10981
Air India,2019-01-03,Banglore,New Delhi,BLR → BBI → DEL,09:30,1595,1 stop,12704
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,08:00,1455,1 stop,22270
Air India,2019-01-03,Banglore,New Delhi,BLR → CCU → DEL,11:05,1330,1 stop,13439
SpiceJet,2019-01-03,Banglore,New Delhi,BLR → PNQ → DEL,10:20,475,1 stop,23267
IndiGo,2019-01-03,Delhi,Cochin,DEL → HYD → MAA → COK,04:55,985,2 stops,10278
IndiGo,2019-01-03,Mumbai,Hyderabad,BOM → HYD,02:30,90,non-stop,16000
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,16:55,365,1 stop,54826
SpiceJet,2019-01-03,Chennai,Kolkata,MAA → CCU,09:30,155,non-stop,7298
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,22:50,1450,1 stop,25735
Air India,2019-01-03,Banglore,New Delhi,BLR → COK → DEL,22:00,920,1 stop,21130
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,08:00,625,1 stop,26890
IndiGo,2019-01-03,Chennai,Kolkata,MAA → CCU,14:40,145,non-stop,7295
SpiceJet,2019-01-03,Banglore,New Delhi,BLR → DEL,09:35,175,non-stop,11690
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,14:05,435,1 stop,36235
Air Asia,2019-01-03,Kolkata,Banglore,CCU → BLR,10:20,155,non-stop,5620
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,07:00,325,1 stop,26890
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,08:55,950,1 stop,26890
Vistara,2019-01-03,Banglore,New Delhi,BLR → DEL,19:40,160,non-stop,21730
Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → BHO → DEL,08:50,2315,2 stops,25430
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,14:05,1055,1 stop,22270
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,16:55,965,1 stop,25735
IndiGo,2019-01-03,Banglore,New Delhi,BLR → DEL,20:00,175,non-stop,14306
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,20:35,890,1 stop,31825
Air India,2019-01-03,Chennai,Kolkata,MAA → CCU,11:40,135,non-stop,19630
Air India,2019-01-03,Banglore,New Delhi,BLR → CCU → DEL,05:50,1015,1 stop,14069
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,08:55,380,1 stop,26890
GoAir,2019-01-03,Banglore,New Delhi,BLR → GOI → DEL,15:45,270,1 stop,12314
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,11:40,1045,1 stop,22270
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,16:55,920,1 stop,26890
SpiceJet,2019-01-03,Kolkata,Banglore,CCU → BLR,06:55,160,non-stop,4622
Jet Airways,2019-01-03,Mumbai,Hyderabad,BOM → HYD,07:10,85,non-stop,17501
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,08:00,315,1 stop,22270
Air India,2019-01-03,Banglore,New Delhi,BLR → HYD → VGA → DEL,17:00,1795,2 stops,14887
GoAir,2019-01-03,Banglore,New Delhi,BLR → DEL,11:40,175,non-stop,11111
IndiGo,2019-01-03,Kolkata,Banglore,CCU → BLR,20:25,160,non-stop,4778
IndiGo,2019-01-03,Mumbai,Hyderabad,BOM → HYD,06:20,85,non-stop,17501
Air India,2019-01-03,Banglore,New Delhi,BLR → HYD → DEL,17:00,370,1 stop,11628
SpiceJet,2019-01-03,Kolkata,Banglore,CCU → BLR,09:00,150,non-stop,5515
Jet Airways,2019-01-03,Mumbai,Hyderabad,BOM → HYD,10:20,90,non-stop,10875
IndiGo,2019-01-03,Mumbai,Hyderabad,BOM → HYD,21:20,85,non-stop,12475
IndiGo,2019-01-03,Kolkata,Banglore,CCU → BLR,15:20,155,non-stop,6565
Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → AMD → DEL,08:50,905,2 stops,17345
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,14:05,640,1 stop,26890
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,05:45,760,1 stop,26890
IndiGo,2019-01-03,Banglore,New Delhi,BLR → DEL,16:55,170,non-stop,12649
Vistara,2019-01-03,Banglore,New Delhi,BLR → AMD → DEL,06:40,1665,1 stop,12371
IndiGo,2019-01-03,Mumbai,Hyderabad,BOM → HYD,12:00,85,non-stop,12475
Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → BHO → DEL,06:45,1600,2 stops,26480
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,22:50,375,1 stop,26890
Air India,2019-01-03,Banglore,New Delhi,BLR → GAU → DEL,13:50,1730,1 stop,17198
Air Asia,2019-01-03,Kolkata,Banglore,CCU → BLR,19:35,150,non-stop,5964
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,05:45,570,1 stop,26890
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,05:45,625,1 stop,26890
Air India,2019-01-03,Mumbai,Hyderabad,BOM → HYD,19:30,75,non-stop,15385
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,08:55,435,1 stop,26890
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,08:55,570,1 stop,26890
Multiple carriers,2019-01-03,Delhi,Cochin,DEL → BOM → COK,00:20,780,1 stop,29528
IndiGo,2019-01-03,Mumbai,Hyderabad,BOM → HYD,09:10,90,non-stop,13999
Multiple carriers,2019-01-03,Delhi,Cochin,DEL → HYD → COK,14:35,465,1 stop,14762
IndiGo,2019-01-03,Banglore,New Delhi,BLR → HYD → DEL,16:55,295,1 stop,8153
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,14:05,1165,1 stop,25735
IndiGo,2019-01-03,Kolkata,Banglore,CCU → BLR,22:10,165,non-stop,4778
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,22:50,1290,1 stop,25735
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,14:05,375,1 stop,27992
Vistara Premium economy,2019-01-03,Chennai,Kolkata,MAA → CCU,07:05,135,non-stop,9125
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,14:05,1135,1 stop,20800
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,07:00,685,1 stop,26890
Air India,2019-01-03,Mumbai,Hyderabad,BOM → HYD,15:00,85,non-stop,6092
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,22:50,1555,1 stop,26890
IndiGo,2019-01-03,Banglore,New Delhi,BLR → NAG → DEL,16:50,285,1 stop,13302
SpiceJet,2019-01-03,Mumbai,Hyderabad,BOM → HYD,05:45,80,non-stop,12475
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,08:00,1265,1 stop,22270
Jet Airways Business,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,05:45,340,1 stop,79512
Multiple carriers,2019-01-03,Delhi,Cochin,DEL → BOM → COK,00:20,910,1 stop,23170
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,05:45,805,1 stop,27992
IndiGo,2019-01-03,Kolkata,Banglore,CCU → BLR,21:25,160,non-stop,4778
Air Asia,2019-01-03,Banglore,New Delhi,BLR → DEL,23:25,165,non-stop,10873
SpiceJet,2019-01-03,Chennai,Kolkata,MAA → CCU,17:45,140,non-stop,7718
Air India,2019-01-03,Banglore,New Delhi,BLR → COK → DEL,22:00,1520,1 stop,14305
IndiGo,2019-01-03,Banglore,New Delhi,BLR → IDR → DEL,13:40,295,1 stop,8707
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,22:50,1220,1 stop,25735
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,16:55,470,1 stop,26890
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BDQ → DEL,05:50,390,1 stop,28097
Air India,2019-01-03,Banglore,New Delhi,BLR → CCU → DEL,11:05,525,1 stop,14594
Air India,2019-01-03,Kolkata,Banglore,CCU → BLR,14:15,150,non-stop,6535
IndiGo,2019-01-03,Banglore,New Delhi,BLR → DEL,08:30,180,non-stop,10067
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,11:40,1280,1 stop,20800
IndiGo,2019-01-03,Kolkata,Banglore,CCU → BLR,09:35,165,non-stop,6565
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,07:00,495,1 stop,26890
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,08:55,745,1 stop,27992
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,11:40,580,1 stop,27992
IndiGo,2019-01-03,Banglore,New Delhi,BLR → DEL,18:25,175,non-stop,12649
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,18:40,860,1 stop,31825
Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → BHO → DEL,08:50,875,2 stops,26743
SpiceJet,2019-01-03,Mumbai,Hyderabad,BOM → HYD,22:45,85,non-stop,11005
IndiGo,2019-01-03,Banglore,New Delhi,BLR → HYD → DEL,07:30,290,1 stop,8110
Jet Airways Business,2019-01-03,Banglore,New Delhi,BLR → MAA → DEL,09:45,280,1 stop,57209
Air India,2019-01-03,Delhi,Cochin,DEL → BOM → COK,23:00,1215,1 stop,27430
IndiGo,2019-01-03,Banglore,New Delhi,BLR → DEL,21:20,175,non-stop,12649
Multiple carriers,2019-01-03,Delhi,Cochin,DEL → BOM → COK,19:00,395,1 stop,23533
Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → IDR → DEL,06:45,1705,2 stops,20999
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,18:40,365,1 stop,35185
IndiGo,2019-01-03,Banglore,New Delhi,BLR → HYD → DEL,12:10,295,1 stop,9694
Air India,2019-01-03,Banglore,New Delhi,BLR → MAA → DEL,11:50,725,1 stop,26092
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,07:00,1325,1 stop,26890
Air India,2019-01-03,Banglore,New Delhi,BLR → CCU → DEL,11:05,700,1 stop,14069
IndiGo,2019-01-03,Chennai,Kolkata,MAA → CCU,05:15,140,non-stop,7295
Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → IDR → DEL,08:50,1580,2 stops,19372
IndiGo,2019-01-03,Banglore,New Delhi,BLR → DEL,10:05,175,non-stop,10067
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,20:25,1120,1 stop,11467
SpiceJet,2019-01-04,Kolkata,Banglore,CCU → BLR,22:20,140,non-stop,3873
IndiGo,2019-01-04,Mumbai,Hyderabad,BOM → HYD,09:10,90,non-stop,3342
Vistara,2019-01-04,Banglore,Delhi,BLR → DEL,09:45,170,non-stop,5403
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,18:55,1400,1 stop,7064
Air Asia,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,07:35,710,1 stop,5192
Air India,2019-01-04,Kolkata,Banglore,CCU → IXR → DEL → BLR,05:50,1045,2 stops,11516
Air India,2019-01-04,Kolkata,Banglore,CCU → DEL → AMD → BLR,10:00,1165,2 stops,12639
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,09:35,575,1 stop,9314
Air India,2019-01-04,Banglore,Delhi,BLR → DEL,21:05,170,non-stop,4441
Air India,2019-01-04,Kolkata,Banglore,CCU → DEL → COK → TRV → BLR,10:00,1470,3 stops,12954
IndiGo,2019-01-04,Banglore,Delhi,BLR → DEL,00:30,175,non-stop,4423
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,18:55,1285,1 stop,7064
Jet Airways,2019-01-04,Banglore,Delhi,BLR → DEL,15:15,175,non-stop,4544
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,18:55,1495,1 stop,7064
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,06:30,855,1 stop,12681
Air India,2019-01-04,Kolkata,Banglore,CCU → DEL → AMD → BLR,07:00,1345,2 stops,12219
Jet Airways,2019-01-04,Banglore,Delhi,BLR → DEL,06:00,165,non-stop,7229
Vistara,2019-01-04,Banglore,Delhi,BLR → DEL,07:00,160,non-stop,5403
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,06:30,800,1 stop,12681
Jet Airways,2019-01-04,Banglore,Delhi,BLR → DEL,11:10,175,non-stop,7229
IndiGo,2019-01-04,Kolkata,Banglore,CCU → BLR,14:25,150,non-stop,4174
Vistara,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,17:00,1065,1 stop,9187
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,18:55,1400,1 stop,12681
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,18:55,1720,1 stop,12681
Jet Airways,2019-01-04,Banglore,Delhi,BLR → DEL,17:45,180,non-stop,7229
SpiceJet,2019-01-04,Delhi,Cochin,DEL → PNQ → COK,08:45,270,1 stop,4812
Jet Airways,2019-01-04,Delhi,Cochin,DEL → BOM → COK,17:30,1145,1 stop,5406
Air India,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,20:30,745,1 stop,7893
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,20:00,960,1 stop,12681
Vistara,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,07:10,975,1 stop,7927
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,14:05,570,1 stop,13364
GoAir,2019-01-04,Delhi,Cochin,DEL → BOM → COK,10:35,540,1 stop,5281
SpiceJet,2019-01-04,Mumbai,Hyderabad,BOM → HYD,05:45,90,non-stop,1965
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,21:10,665,1 stop,8849
Air India,2019-01-04,Kolkata,Banglore,CCU → HYD → BLR,19:00,890,1 stop,4227
Air India,2019-01-04,Kolkata,Banglore,CCU → DEL → COK → BLR,10:00,920,2 stops,10408
Jet Airways,2019-01-04,Delhi,Cochin,DEL → BOM → COK,16:00,1235,1 stop,5406
IndiGo,2019-01-04,Delhi,Cochin,DEL → HYD → COK,07:35,275,1 stop,5073
SpiceJet,2019-01-04,Kolkata,Banglore,CCU → BLR,06:55,155,non-stop,3873
Air India,2019-01-04,Kolkata,Banglore,CCU → GAU → IMF → DEL → BLR,16:45,1830,3 stops,8607
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,09:35,505,1 stop,11467
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,21:10,450,1 stop,13364
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,16:30,365,1 stop,12681
Air India,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,20:30,1605,1 stop,7211
Jet Airways,2019-01-04,Banglore,Delhi,BLR → DEL,18:55,185,non-stop,7229
Air India,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,16:50,905,1 stop,7893
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,20:00,1220,1 stop,12681
SpiceJet,2019-01-04,Kolkata,Banglore,CCU → BLR,09:00,145,non-stop,3873
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,20:25,800,1 stop,14151
Jet Airways,2019-01-04,Banglore,Delhi,BLR → DEL,19:50,180,non-stop,7229
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,14:05,345,1 stop,13364
Jet Airways,2019-01-04,Mumbai,Hyderabad,BOM → HYD,02:55,85,non-stop,2228
Jet Airways,2019-01-04,Mumbai,Hyderabad,BOM → HYD,07:05,85,non-stop,8040
Air Asia,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,22:40,720,1 stop,5192
IndiGo,2019-01-04,Delhi,Cochin,DEL → HYD → COK,06:50,320,1 stop,5298
Vistara,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,07:10,1555,1 stop,7980
IndiGo,2019-01-04,Kolkata,Banglore,CCU → BLR,09:35,165,non-stop,4174
Air India,2019-01-04,Banglore,Delhi,BLR → DEL,17:00,165,non-stop,5176
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,21:10,730,1 stop,13364
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,20:00,960,1 stop,7064
IndiGo,2019-01-04,Kolkata,Banglore,CCU → GAU → BLR,15:10,320,1 stop,8567
Air India,2019-01-04,Kolkata,Banglore,CCU → HYD → BLR,19:00,580,1 stop,4227
SpiceJet,2019-01-04,Kolkata,Banglore,CCU → IXB → BLR,15:55,330,1 stop,7646
GoAir,2019-01-04,Delhi,Cochin,DEL → AMD → COK,07:25,370,1 stop,4563
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,06:30,590,1 stop,12996
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,08:25,590,1 stop,7064
IndiGo,2019-01-04,Kolkata,Banglore,CCU → MAA → BLR,17:35,280,1 stop,5699
IndiGo,2019-01-04,Banglore,Delhi,BLR → DEL,16:55,180,non-stop,4823
IndiGo,2019-01-04,Kolkata,Banglore,CCU → BLR,11:30,155,non-stop,4174
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,20:25,870,1 stop,11467
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,18:55,1660,1 stop,7064
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,20:00,1430,1 stop,7064
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,18:55,1285,1 stop,12681
Vistara,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,17:00,385,1 stop,8610
Vistara,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,17:00,965,1 stop,8662
Air India,2019-01-04,Kolkata,Banglore,CCU → GAU → DEL → BLR,16:45,970,2 stops,9920
Air India,2019-01-04,Kolkata,Banglore,CCU → GAU → DEL → BLR,16:45,1830,2 stops,9237
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,06:30,1545,1 stop,7064
Air Asia,2019-01-04,Kolkata,Banglore,CCU → BBI → BLR,06:50,220,1 stop,5162
SpiceJet,2019-01-04,Kolkata,Banglore,CCU → BLR,09:00,145,non-stop,3841
SpiceJet,2019-01-04,Banglore,Delhi,BLR → DEL,09:30,170,non-stop,3971
