name,rating,reviews,comp_type,head_quarter,how_old,no_employee
Aurobindo Pharma,4.0,(3.7k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 53 more",37 years old,10k-50k Employees (India)
Max Life Insuran...,4.2,(3.7k Reviews),JV,"Gurgaon/Gurugram,Haryana + 338 more",23 years old,10k-50k Employees (India)
Zydus Cadila,4.2,(3.7k Reviews),Public,"Ahmedabad, India + 119 more",71 years old,10k-50k Employees (India)
eClerx,3.5,(3.7k Reviews),Public,"Mumbai,Maharashtra + 14 more",23 years old,10k-50k Employees (India)
Muthoot Finance,3.6,(3.7k Reviews),Public,"Kochi/Cochin,Kerala + 539 more",84 years old,10k-50k Employees (India)
Siemens,4.2,(3.7k Reviews),Public,"Munich,Bavaria + 107 more",176 years old,5k-10k Employees (India)
Mahindra & Mahin...,4.3,(3.7k Reviews),Public,"Mumbai,Maharashtra + 596 more",32 years old,10k-50k Employees (India)
Apollo Hospitals,4.1,(3.7k Reviews),Public,"San Francisco,California + 167 more",40 years old,50k-1 Lakh Employees (India)
Oracle,3.9,(3.6k Reviews),Public,"Austin,Texas + 35 more",46 years old,50k-1 Lakh Employees (India)
Tata Projects,4.2,(3.6k Reviews),Public,"Mumbai,Maharashtra + 216 more",44 years old,10k-50k Employees (India)
JLL,4.2,(3.5k Reviews),Private,"Mumbai,Maharashtra + 62 more",26 years old,5k-10k Employees (India)
First Source,3.9,(3.5k Reviews),Public,"Mumbai,Maharashtra + 47 more",22 years old,10k-50k Employees (India)
Nokia,4.3,(3.5k Reviews),Private,"Espoo,Southern Finland + 171 more",158 years old,10k-50k Employees (India)
Hewlett-Packard ...,4.3,(3.5k Reviews),Private,"Houston,Texas + 87 more",8 years old,10k-50k Employees (India)
Hero MotoCorp,4.2,(3.5k Reviews),Public,"Gurgaon/Gurugram,Haryana + 282 more",39 years old,5k-10k Employees (India)
JustDial,3.6,(3.4k Reviews),Public,"Mumbai,Maharashtra + 146 more",27 years old,10k-50k Employees (India)
Bajaj Allianz Li...,4.1,(3.4k Reviews),Private,Pune + 462 more,22 years old,10k-50k Employees (India)
Cyient,3.7,(3.3k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 26 more",32 years old,10k-50k Employees (India)
Omega Healthcare,3.8,(3.3k Reviews),Private,Florida + 33 more,19 years old,5k-10k Employees (India)
Fidelity Nationa...,4.0,(3.3k Reviews),Private,"Jacksonville,Florida + 30 more",55 years old,5k-10k Employees (India)
Megha Engineerin...,4.1,(3.3k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 240 more",34 years old,1k-5k Employees (India)
Reliance Communi...,4.0,(3.2k Reviews),Public,"Navi Mumbai,Maharashtra + 393 more",21 years old,10k-50k Employees (India)
L&T Construction,4.0,(3.2k Reviews),Public,Chennai + 281 more,79 years old,10k-50k Employees (India)
Hyundai Motor,4.3,(3.2k Reviews),Private,Seoul + 241 more,56 years old,10k-50k Employees (India)
TVS Motor,4.0,(3.2k Reviews),Public,"Chennai,Tamil Nadu + 249 more",44 years old,10k-50k Employees (India)
D Mart,3.9,(3.2k Reviews),Private,"Mumbai,Maharashtra + 190 more",4 years old,10k-50k Employees (India)
Oyo Rooms,3.5,(3.1k Reviews),Private,"Gurgaon,Haryana + 108 more",10 years old,1k-5k Employees (India)
Bosch,4.3,(3.1k Reviews),Public,"Gerlingen,Baden-Wuerttemberg + 88 more",137 years old,10k-50k Employees (India)
BigBasket,4.1,(3.1k Reviews),Private,"Bangalore,Karnataka + 94 more",12 years old,10k-50k Employees (India)
Intelenet Global...,3.7,(3.1k Reviews),Private,"Mumbai,Maharashtra + 56 more",23 years old,10k-50k Employees (India)
Future Group,4.3,(3.1k Reviews),Private,"Mumbai,Maharashtra + 194 more",10 years old,10k-50k Employees (India)
Indiamart Interm...,3.7,(3k Reviews),Private,"Noida,Uttar Pradesh + 119 more",27 years old,10k-50k Employees (India)
Atos Syntel,3.7,(3k Reviews),Private,"Troy,Michigan + 14 more",43 years old,10k-50k Employees (India)
Manappuram Finan...,4.0,(3k Reviews),Public,"Thrissur/Trichur,Kerala + 438 more",74 years old,10k-50k Employees (India)
SBI Cards & Paym...,3.7,(3k Reviews),Government,"Gurgaon/Gurugram,Haryana + 291 more",25 years old,1k-5k Employees (India)
BNY Mellon,4.1,(3k Reviews),Private,"New York City,New York + 11 more",19 years old,5k-10k Employees (India)
Wipro BPS,3.8,(3k Reviews),Bengaluru + 35 more,23 years old,1 Lakh+ Employees (India),
Cummins,4.4,(3k Reviews),"Columbus,Indiana + 89 more",61 years old,10k-50k Employees (India),
Bosch Global Sof...,4.2,(2.9k Reviews),Private,Gerlingen + 22 more,33 years old,10k-50k Employees (India)
Fullerton India,4.1,(2.9k Reviews),Private,Mumbai + 430 more,16 years old,10k-50k Employees (India)
IQVIA,4.1,(2.9k Reviews),Partnership,Durham + 37 more,41 years old,10k-50k Employees (India)
UST,3.9,(2.9k Reviews),Private,"Aliso Viejo,California + 31 more",22 years old,10k-50k Employees (India)
Samsung,4.1,(2.9k Reviews),Public,Seoul + 386 more,85 years old,5k-10k Employees (India)
Amdocs,4.0,(2.9k Reviews),Private,"Chesterfield,Missouri + 12 more",41 years old,10k-50k Employees (India)
Schneider Electr...,4.1,(2.9k Reviews),Private,Paris + 96 more,24 years old,10k-50k Employees (India)
CBRE,4.2,(2.9k Reviews),Private,"Los Angeles,California + 61 more",117 years old,5k-10k Employees (India)
Nagarro,4.4,(2.9k Reviews),Private,"Munich,Bavaria + 32 more",27 years old,10k-50k Employees (India)
Capgemini Techno...,4.0,(2.9k Reviews),Bengaluru/Bangalore + 27 more,,,
ICICI Lombard Ge...,3.8,(2.8k Reviews),Public,"Mumbai,Maharashtra + 222 more",22 years old,5k-10k Employees (India)
GlobalLogic,3.8,(2.8k Reviews),Private,"San Jose,California + 24 more",23 years old,1k-5k Employees (India)
Virtusa Consulti...,3.8,(2.8k Reviews),Private,"Southborough,Massachusetts + 24 more",27 years old,10k-50k Employees (India)
JBM Group,4.0,(2.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 75 more",40 years old,10k-50k Employees (India)
Dell,4.2,(2.8k Reviews),Private,"Round Rock,Texas + 81 more",39 years old,10k-50k Employees (India)
Ecom Express,4.1,(2.8k Reviews),Private,"Gurgaon,Haryana + 550 more",11 years old,10k-50k Employees (India)
Viatris,4.3,(2.7k Reviews),"Canonsburg,Pennsylvania + 63 more",62 years old,10k-50k Employees (India),
State Bank of In...,3.8,(2.7k Reviews),"Mumbai,Maharashtra + 420 more",217 years old,1 Lakh+ Employees (India),
Bajaj Auto,3.9,(2.7k Reviews),Public,"Pune,Maharashtra + 218 more",78 years old,5k-10k Employees (India)
Equitas Small Fi...,4.1,(2.7k Reviews),Private,"Chennai,Tamil Nadu + 319 more",16 years old,10k-50k Employees (India)
Cholamandalam In...,4.1,(2.7k Reviews),Private,"Chennai,Tamil Nadu + 534 more",45 years old,5k-10k Employees (India)
Swiggy,4.0,(2.7k Reviews),Private,"Bangalore,Karnataka + 152 more",9 years old,10k-50k Employees (India)
Nagarjuna Constr...,4.1,(2.7k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 193 more",25 years old,1k-5k Employees (India)
KEC Internationa...,4.1,(2.6k Reviews),Public,"Mumbai,Maharashtra + 234 more",78 years old,5k-10k Employees (India)
Godrej & Boyce M...,3.9,(2.6k Reviews),Private,"Mumbai,Maharashtra + 120 more",126 years old,10k-50k Employees (India)
Muthoot Fincorp,4.0,(2.6k Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 483 more",136 years old,10k-50k Employees (India)
SBI Life Insuran...,3.8,(2.6k Reviews),Government,"Mumbai,Maharashtra + 472 more",22 years old,10k-50k Employees (India)
Aditya Birla Fas...,4.2,(2.6k Reviews),Private,Mumbai + 203 more,8 years old,10k-50k Employees (India)
Royal Enfield,4.2,(2.6k Reviews),Private,"Gurgaon/Gurugram,Haryana + 270 more",122 years old,1k-5k Employees (India)
Tata Communicati...,4.1,(2.6k Reviews),Public,"Mumbai,Maharashtra + 80 more",37 years old,5k-10k Employees (India)
Ekart Logistics,4.1,(2.6k Reviews),Private,"San Francisco,California + 480 more",14 years old,5k-10k Employees (India)
LG Electronics,4.0,(2.6k Reviews),Public,"Seoul,Seoul + 217 more",65 years old,10k-50k Employees (India)
Whitehat jr,3.6,(2.6k Reviews),Private,"Mumbai,Maharashtra + 46 more",5 years old,5k-10k Employees (India)
John Deere,4.3,(2.6k Reviews),Private,"Moline,Illinois + 102 more",22 years old,1k-5k Employees (India)
Optum,4.1,(2.6k Reviews),Private,"Prairie,USA + 21 more",46 years old,10k-50k Employees (India)
L&T Finance,4.0,(2.5k Reviews),Public,"Mumbai,Maharashtra + 433 more",29 years old,10k-50k Employees (India)
L&T Technology S...,3.4,(2.5k Reviews),Public,"Vadodara/Baroda,Gujarat + 30 more",11 years old,10k-50k Employees (India)
Piramal Capital ...,4.3,(2.5k Reviews),Mumbai + 281 more,3 years old,5k-10k Employees (India),
Intas Pharmaceut...,4.2,(2.5k Reviews),Private,"Ahmedabad,Gujrat + 104 more",23 years old,10k-50k Employees (India)
UnitedHealth,4.2,(2.5k Reviews),Private,"Minnetonka,Minnesota + 13 more",46 years old,10k-50k Employees (India)
Hetero Drugs,3.8,(2.5k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 32 more",30 years old,1k-5k Employees (India)
Ford Motor,4.5,(2.5k Reviews),Public,"Dearborn,Michigan + 98 more",120 years old,5k-10k Employees (India)
Thermax Limited,4.2,(2.5k Reviews),Public,"Pune,Maharashtra + 137 more",43 years old,5k-10k Employees (India)
Sodexo,4.1,(2.4k Reviews),Private,Issy Les Moulineaux + 119 more,15 years old,201-500 Employees (India)
Varun Beverages,4.0,(2.4k Reviews),Public,"Gurgaon/Gurugram,Haryana + 239 more",28 years old,10k-50k Employees (India)
Abbott Healthcar...,4.2,(2.4k Reviews),Public,"Illinois City,Illinois + 157 more",32 years old,10k-50k Employees (India)
Subros,4.0,(2.4k Reviews),Public,"Noida,Uttar Pradesh + 37 more",38 years old,1k-5k Employees (India)
Macleods Pharmac...,3.8,(2.4k Reviews),Public,"Mumbai,Maharashtra + 80 more",37 years old,5k-10k Employees (India)
Motherson Sumi S...,3.8,(2.4k Reviews),Public,"Noida,Uttar Pradesh + 62 more",37 years old,5k-10k Employees (India)
VE Commercial Ve...,4.0,(2.4k Reviews),Private,"Gurgaon/Gurugram,Haryana + 113 more",15 years old,1k-5k Employees (India)
Automatic Data P...,4.2,(2.4k Reviews),New Jersey + 15 more,74 years old,5k-10k Employees (India),
Randstad,3.9,(2.4k Reviews),Private,"Chennai,Tamil Nadu + 218 more",31 years old,1k-5k Employees (India)
American Express,4.3,(2.3k Reviews),Private,"New York City,New York + 36 more",173 years old,10k-50k Employees (India)
Wipro Consumer ...,3.7,(2.3k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 79 more",78 years old,1k-5k Employees (India)
Axis Direct,4.0,(2.3k Reviews),Private,"San Mateo,California + 264 more",12 years old,1k-5k Employees (India)
Havells,4.1,(2.3k Reviews),Public,"Noida,Uttar Pradesh + 148 more",40 years old,5k-10k Employees (India)
Pidilite Industr...,4.3,(2.3k Reviews),Public,"Mumbai,Maharashtra + 197 more",64 years old,5k-10k Employees (India)
Hindustan Coca C...,4.4,(2.3k Reviews),Private,Bangalore + 188 more,26 years old,5k-10k Employees (India)
Wipro Infotech,4.0,(2.3k Reviews),Private,Bangalore + 115 more,78 years old,1 Lakh+ Employees (Global)
Alkem Laboratori...,4.0,(2.3k Reviews),Public,"Mumbai,Maharashtra + 127 more",50 years old,10k-50k Employees (India)
Indian Air Force,4.6,(2.3k Reviews),Private,"New Delhi,Delhi + 107 more",91 years old,1 Lakh+ Employees (India)
CARS24,3.7,(2.3k Reviews),Private,"Gurgaon,Haryana + 135 more",8 years old,5k-10k Employees (India)
Bharat Electroni...,4.1,(2.3k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 36 more",69 years old,5k-10k Employees (India)
Alembic Pharmace...,4.1,(2.3k Reviews),Public,"Vadodara/Baroda,Gujrat + 123 more",116 years old,10k-50k Employees (India)
Atos,3.9,(2.2k Reviews),Private,"Vilnius,Vilniaus Apskritis + 34 more",26 years old,201-500 Employees (India)
Deutsche Bank,4.1,(2.2k Reviews),Private,Frankfurt + 29 more,153 years old,10k-50k Employees (India)
Team Lease,3.9,(2.2k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 245 more",7 years old,1k-5k Employees (India)
Cgi Group,4.1,(2.2k Reviews),Private,"Montreal,Quebec + 13 more",47 years old,10k-50k Employees (India)
Vishal Mega Mart,3.8,(2.2k Reviews),Private,"Gurgaon/Gurugram,Haryana + 292 more",15 years old,10k-50k Employees (India)
Hindalco Industr...,4.3,(2.2k Reviews),Public,"Mumbai,Maharashtra + 71 more",65 years old,10k-50k Employees (India)
CMS IT Services,3.2,(2.2k Reviews),Private,"Bangalore,Karnataka + 131 more",9 years old,5k-10k Employees (India)
DCB Bank,3.9,(2.2k Reviews),Private,"Mumbai,Maharashtra + 274 more",93 years old,5k-10k Employees (India)
Glenmark Pharmac...,4.1,(2.2k Reviews),Public,"Mumbai,Maharashtra + 119 more",46 years old,501-1k Employees (India)
ABB Group,4.1,(2.2k Reviews),Public,Zurich + 86 more,35 years old,10k-50k Employees (India)
Ipca Laboratorie...,4.0,(2.2k Reviews),Public,"Mumbai,Maharashtra + 103 more",74 years old,10k-50k Employees (India)
Honda Motorcycle...,4.2,(2.2k Reviews),Private,"Gurgaon/Gurugram,Haryana + 185 more",24 years old,1k-5k Employees (India)
Publicis Sapien...,3.6,(2.2k Reviews),Private,"New York,New York + 14 more",33 years old,10k-50k Employees (India)
NatWest Group,4.1,(2.2k Reviews),Government,Gurgaon/Gurugram + 21 more,10k-50k Employees (India),
DTDC Express,3.9,(2.1k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 201 more",33 years old,1k-5k Employees (India)
Escorts Kubota L...,4.1,(2.1k Reviews),Public,"Faridabad,Haryana + 117 more",63 years old,10k-50k Employees (India)
MRF Tyres,3.7,(2.1k Reviews),Public,"Chennai,Tamil Nadu + 156 more",77 years old,10k-50k Employees (India)
Standard Charter...,4.0,(2.1k Reviews),Private,"London,England + 56 more",54 years old,5k-10k Employees (India)
Maersk,4.3,(2.1k Reviews),Private,Copenhagen + 25 more,119 years old,10k-50k Employees (India)
Persistent Syste...,4.0,(2.1k Reviews),Public,"Pune,Maharashtra + 16 more",33 years old,10k-50k Employees (India)
Reliance Nippon ...,3.9,(2.1k Reviews),Private,"Mumbai,Maharashtra + 405 more",23 years old,10k-50k Employees (India)
GATI-KWE,4.1,(2.1k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 151 more",11 years old,1k-5k Employees (India)
Shoppers Stop,4.2,(2.1k Reviews),Public,"Mumbai,Maharashtra + 57 more",32 years old,5k-10k Employees (India)
Bank of America,4.4,(2.1k Reviews),Private,Charlotte + 23 more,25 years old,10k-50k Employees (India)
24/7 Customer,3.6,(2.1k Reviews),Private,"San Jose,California + 21 more",23 years old,5k-10k Employees (India)
Conduent,3.6,(2.1k Reviews),Private,"Florham Park,New Jersey + 18 more",6 years old,5k-10k Employees (India)
Aarti Industries,4.1,(2.1k Reviews),Public,"Mumbai,Maharashtra + 36 more",48 years old,5k-10k Employees (India)
Tata AIA Life In...,4.1,(2.1k Reviews),Private,"Mumbai,Maharashtra + 249 more",22 years old,10k-50k Employees (India)
R1 RCM,3.9,(2.1k Reviews),Private,"Murray,Utah + 16 more",20 years old,5k-10k Employees (India)
ITC Infotech In...,3.6,(2.1k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 42 more",23 years old,5k-10k Employees (India)
Paras Hospital,4.7,(2.1k Reviews),Private,"Gurgaon/Gurugram,Haryana + 28 more",17 years old,5k-10k Employees (India)
Biocon,3.9,(2.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 56 more",45 years old,10k-50k Employees (India)
Utkarsh Small Fi...,3.9,(2.1k Reviews),Public,"Varanasi,Uttar Pradesh + 255 more",14 years old,10k-50k Employees (India)
Access Healthcar...,4.0,(2k Reviews),Private,"Dallas,Texas + 17 more",12 years old,1k-5k Employees (India)
Suzlon Group,4.1,(2k Reviews),Public,"Pune,Maharashtra + 95 more",28 years old,5k-10k Employees (India)
Ceat Tyres,4.0,(2k Reviews),Public,"Mumbai,Maharashtra + 95 more",65 years old,5k-10k Employees (India)
Jindal Steel and...,4.0,(2k Reviews),Private,"Delhi/NCR,New Delhi + 93 more",71 years old,5k-10k Employees (India)
Indian Oil Corpo...,4.4,(2k Reviews),Private,"Delhi/NCR,Delhi + 206 more",64 years old,10k-50k Employees (India)
Berger Paints,3.7,(2k Reviews),Public,"Kolkata,West Bengal + 199 more",100 years old,1k-5k Employees (India)
RSPL Group,4.1,(2k Reviews),Private,"Mumbai,Maharashtra + 157 more",36 years old,1k-5k Employees (India)
HDFC Ergo Genera...,4.0,(2k Reviews),Public,"Mumbai,Maharashtra + 199 more",21 years old,5k-10k Employees (India)
RBL Bank,3.7,(2k Reviews),Public,"Mumbai,Maharashtra + 191 more",80 years old,1k-5k Employees (India)
Simplex Infrastr...,3.4,(2k Reviews),Public,"Kolkata,West Bengal + 125 more",99 years old,1k-5k Employees (India)
ACC,4.0,(2k Reviews),Public,"Mumbai,Maharashtra + 193 more",87 years old,5k-10k Employees (India)
