Rank,Country,Average IQ,Continent,Literacy Rate,Nobel Prices,HDI (2021),Mean years of schooling - 2021, GNI - 2021,Population - 2023
174,Saint Vincent and the Grenadines,63.42,Central America,0.96,0,0.751,10.8,11961.0,103.699
175,Gabon,62.97,Africa,0.83,0,0.706,9.4,13367.0,2436567
176,Congo Republic,62.97,Africa,0.79,0,0.479,7.0,1076.0,102262809
177,Yemen,62.86,Asia,0.7,1,0.455,3.2,1314.0,34449825
178,Belize,62.55,Central America,0.83,0,0.683,8.8,6309.0,410.825
179,Central African Republic,62.55,Africa,0.37,0,0.404,4.3,966.0,5742316
180,Honduras,62.16,Central America,0.88,0,0.621,7.1,5298.0,10593798
181,Togo,59.83,Africa,0.67,0,0.539,5.0,2167.0,9053799
182,Mali,59.76,Africa,0.33,0,0.428,2.3,2133.0,23293699
183,Mauritania,59.76,Africa,0.52,0,0.556,4.9,5075.0,4862989
184,South Sudan,58.61,Africa,0.32,0,0.385,5.7,768.0,11088796
185,Ghana,58.16,Africa,0.77,1,0.632,8.3,5745.0,34121985
186,Costa do Marfim,58.16,Africa,0.43,0,,,,28873034
187,Guinea,53.48,Africa,0.3,0,0.465,2.2,2481.0,14190612
188,Nicaragua,52.69,Central America,0.82,0,0.667,7.1,5625.0,7046311
189,Gambia,52.68,Africa,0.58,0,0.5,4.6,2172.0,2773168
190,Guatemala,47.72,Central America,0.79,2,0.627,5.7,8723.0,18092026
191,Liberia,45.07,Africa,0.48,2,0.481,5.1,1289.0,5418377
192,Sierra Leone,45.07,Africa,0.48,0,0.477,4.6,1622.0,8791092
193,Nepal,42.99,Asia,0.65,0,0.602,5.1,3877.0,30896590
