Customer_care_calls,Customer_rating,Prior_purchases,Discount_offered,Weight_in_gms,Warehouse_block,Mode_of_Shipment,Product_importance,Gender,Class
5,3,5,7,1303,D,Flight,medium,F,1
3,3,3,2,4363,D,Road,low,M,0
5,2,2,6,2059,C,Ship,high,F,1
5,1,4,2,5978,C,Ship,high,F,1
4,3,4,13,1583,D,Ship,medium,M,1
6,2,4,2,1196,F,Ship,low,M,0
4,3,5,8,1753,D,Road,medium,M,1
4,1,6,9,1753,B,Ship,low,F,1
3,2,4,13,1790,D,Ship,low,M,1
5,5,2,19,1936,D,Flight,medium,M,1
4,5,2,5,4127,A,Ship,medium,M,0
6,4,4,8,1867,A,Ship,medium,M,0
3,1,3,9,5797,B,Ship,medium,F,0
5,3,3,2,4688,A,Road,medium,F,0
3,1,3,5,1556,B,Ship,medium,M,1
3,5,3,9,4468,B,Ship,low,M,0
2,1,3,1,4391,F,Ship,high,M,0
3,1,10,4,4496,C,Ship,low,F,1
4,5,3,2,5439,C,Ship,medium,F,1
3,5,8,9,4733,C,Ship,medium,F,1
3,5,3,61,1473,A,Ship,low,M,1
6,3,5,1,1271,A,Ship,medium,F,0
3,1,2,52,2312,F,Road,high,M,1
4,5,3,4,5180,A,Flight,medium,M,1
4,1,5,6,1027,B,Ship,medium,M,0
4,1,2,10,4653,C,Ship,low,M,1
3,4,4,9,5301,A,Road,medium,F,0
3,4,3,60,2980,C,Flight,low,F,1
6,4,4,7,1969,D,Ship,low,M,0
3,3,2,26,1659,F,Ship,low,F,1
3,5,3,6,4172,A,Ship,low,F,1
5,2,2,10,4938,F,Ship,low,F,0
4,5,3,38,3031,D,Ship,low,M,1
3,4,2,2,4219,A,Ship,medium,M,1
5,5,3,4,4534,F,Ship,low,M,0
2,5,6,41,1772,C,Ship,medium,F,1
4,3,4,1,4984,B,Flight,medium,M,1
7,3,4,3,1296,F,Road,medium,M,0
4,2,5,17,3630,F,Ship,medium,F,1
3,2,4,18,2699,A,Ship,low,F,1
3,4,2,1,3398,B,Road,medium,F,1
3,2,3,38,2108,B,Road,medium,M,1
4,1,2,10,5085,A,Ship,low,M,1
4,4,6,6,5451,B,Ship,low,M,1
3,5,3,3,5540,F,Ship,low,F,0
4,2,2,5,5608,C,Ship,low,F,1
6,1,7,7,2338,D,Ship,medium,F,1
4,1,3,1,5677,D,Ship,low,F,0
7,2,5,9,1327,F,Flight,medium,M,0
3,5,3,2,5841,D,Flight,low,M,0
5,4,4,8,5284,F,Ship,high,F,1
5,4,5,8,1549,F,Flight,low,F,0
5,2,5,5,4805,F,Ship,medium,F,0
3,3,3,9,5852,B,Ship,medium,M,0
6,2,4,7,4589,C,Road,medium,F,0
3,4,3,4,4756,F,Road,high,M,1
4,2,3,3,5488,B,Ship,low,F,1
4,2,3,6,5826,F,Ship,low,F,0
2,3,3,55,3842,A,Ship,medium,F,1
3,2,3,6,4778,F,Ship,low,M,1
4,3,3,8,5944,F,Ship,low,M,0
5,5,2,10,5564,D,Ship,low,M,0
3,5,3,23,3750,A,Flight,low,M,1
3,5,2,6,5289,F,Ship,low,F,0
6,1,4,5,1867,D,Ship,low,M,0
6,2,4,10,1983,F,Ship,medium,F,1
3,5,6,22,2717,C,Flight,medium,M,1
3,4,3,5,5915,B,Road,medium,F,0
4,2,3,48,1193,A,Flight,low,F,1
5,1,5,2,1950,D,Ship,low,F,1
4,2,2,28,2815,D,Flight,low,F,1
4,3,5,2,1482,F,Ship,medium,M,0
4,3,3,15,1008,D,Ship,low,F,1
4,1,2,10,4086,B,Flight,low,M,0
5,2,2,6,4819,F,Flight,medium,F,1
4,4,3,2,5975,F,Ship,low,M,1
4,2,2,8,4460,F,Flight,low,F,0
3,2,3,1,5398,F,Ship,high,F,0
3,2,3,5,5781,F,Ship,high,F,1
5,3,3,6,5064,D,Road,medium,F,1
4,3,3,6,5657,F,Ship,medium,F,1
6,1,4,2,1131,D,Flight,medium,F,0
4,4,3,7,4106,A,Ship,low,F,1
4,1,3,4,4972,F,Flight,medium,F,1
5,4,10,34,2960,B,Ship,medium,F,1
5,4,3,6,5721,F,Ship,medium,F,0
5,3,6,1,5874,F,Ship,medium,F,0
6,4,4,9,1108,F,Ship,medium,F,1
5,3,3,5,5663,A,Ship,medium,F,0
5,5,5,6,1887,F,Ship,low,M,1
5,1,5,2,1323,A,Ship,high,F,0
4,1,3,7,4808,F,Ship,low,F,1
2,3,4,7,5510,A,Ship,medium,M,0
6,4,4,9,1104,C,Ship,low,M,0
3,3,3,24,1139,B,Road,low,F,1
4,3,2,47,3606,F,Ship,medium,F,1
4,2,3,10,5354,A,Ship,medium,F,0
6,5,4,6,1066,F,Ship,low,M,0
4,1,4,2,4543,F,Ship,medium,F,0
3,4,3,10,2728,D,Road,low,F,1
3,1,3,4,2304,C,Ship,low,M,1
3,2,3,1,4308,B,Ship,low,M,1
3,2,2,10,5401,B,Road,low,M,0
3,2,2,4,1009,C,Ship,high,F,1
4,2,4,10,5528,A,Ship,low,F,1
5,3,2,3,4474,A,Ship,low,M,1
3,1,2,5,4884,A,Road,low,F,0
5,5,6,1,1384,C,Ship,low,M,0
5,1,3,12,1775,D,Ship,high,F,1
4,1,2,47,1540,A,Road,low,F,1
3,3,4,7,1869,C,Ship,low,M,1
4,4,3,59,2868,B,Road,medium,M,1
4,5,4,10,1694,F,Ship,low,M,1
6,4,4,4,1973,C,Ship,low,M,0
2,5,3,3,4253,C,Ship,medium,F,1
4,4,7,9,5418,F,Ship,medium,M,0
3,4,4,11,3030,B,Ship,low,M,1
2,2,3,61,1800,A,Road,low,F,1
3,3,3,23,3764,D,Ship,medium,M,1
3,3,6,45,1602,C,Road,low,M,1
6,1,5,3,1434,C,Flight,low,F,0
3,3,2,8,5955,C,Ship,low,M,1
4,3,6,6,4998,D,Ship,medium,M,0
3,3,3,8,4950,F,Ship,medium,F,0
4,2,6,8,5227,C,Road,low,M,0
3,4,2,5,4693,C,Flight,low,F,1
4,1,2,5,5324,A,Road,low,M,1
6,4,3,7,5192,B,Ship,low,F,1
3,4,2,1,5745,B,Ship,medium,M,0
5,3,2,3,4456,C,Flight,low,M,0
3,3,3,9,1257,F,Ship,medium,M,1
2,1,3,3,5922,F,Ship,medium,F,0
4,3,3,7,5156,F,Road,low,M,1
3,2,4,38,1322,C,Ship,medium,F,1
3,3,2,36,3340,B,Ship,high,M,1
3,1,2,1,4970,B,Ship,low,F,1
5,3,4,6,5107,B,Ship,low,M,0
4,1,3,5,4782,C,Ship,high,M,0
5,5,3,27,2019,A,Ship,medium,F,1
5,4,5,2,1409,A,Ship,low,M,0
5,2,4,6,5486,A,Ship,low,M,0
6,5,4,6,1761,C,Ship,high,F,0
3,2,4,49,3179,B,Flight,medium,F,1
6,4,4,1,1872,A,Ship,medium,F,0
6,2,4,10,1556,F,Ship,low,M,0
4,3,2,10,5709,F,Ship,high,M,1
3,5,4,3,5215,F,Ship,medium,F,1
3,1,3,8,3617,F,Ship,low,F,1
6,1,5,14,3213,A,Ship,low,M,1
5,2,3,17,3889,D,Flight,low,M,1
4,5,3,3,4430,D,Ship,medium,F,1
5,3,3,58,3411,D,Ship,low,M,1
5,1,4,4,1837,C,Ship,medium,M,0
4,5,4,5,4643,A,Ship,low,F,0
2,5,3,13,2171,D,Ship,medium,F,1
3,2,3,15,1862,C,Road,low,M,1
5,1,3,8,5845,C,Ship,low,M,0
2,4,3,3,4811,F,Ship,medium,M,0
6,3,4,3,5756,A,Ship,low,M,0
3,5,2,2,4906,F,Flight,low,F,1
6,1,4,6,1866,F,Flight,low,F,1
4,5,3,6,5154,F,Ship,low,M,1
4,1,2,7,5967,B,Ship,medium,F,0
5,5,5,4,1667,D,Flight,low,F,0
3,1,2,9,4626,A,Ship,low,M,1
4,1,2,2,4581,A,Road,medium,M,1
5,3,3,4,4446,D,Ship,medium,F,1
3,4,2,37,2537,F,Ship,low,F,1
3,2,4,8,4867,A,Ship,medium,M,1
5,2,3,5,4972,C,Ship,high,M,0
4,1,3,2,4983,C,Ship,medium,M,0
6,4,4,5,1327,B,Ship,low,F,0
6,3,4,2,1189,C,Road,low,F,0
4,1,3,53,2021,C,Ship,low,F,1
4,5,8,39,1411,A,Ship,low,M,1
5,2,2,4,3617,D,Ship,low,F,1
4,2,3,22,1294,F,Ship,low,M,1
5,2,2,2,4075,A,Road,low,M,0
3,2,2,7,5141,D,Ship,low,M,1
4,4,5,9,1947,A,Ship,low,M,1
4,1,2,17,3544,A,Flight,low,M,1
6,1,3,10,1278,B,Flight,medium,M,1
4,1,3,3,4673,C,Ship,low,F,1
3,1,3,7,5331,B,Road,medium,M,0
4,3,4,19,3838,D,Flight,low,F,1
6,4,3,14,1651,B,Road,medium,F,1
6,1,4,8,1806,F,Ship,medium,M,1
3,1,2,2,4352,F,Ship,high,M,0
4,2,3,5,5978,F,Ship,medium,F,0
4,5,3,3,5857,A,Road,medium,M,1
4,2,3,4,4743,C,Ship,medium,M,1
3,4,3,8,5867,D,Road,medium,M,1
4,3,3,10,4068,C,Road,low,F,0
7,1,4,3,1450,C,Flight,medium,F,0
5,3,5,7,1349,F,Ship,low,M,0
2,5,7,12,1064,B,Road,low,M,1
4,1,3,2,4282,B,Ship,low,M,0
6,3,4,8,1850,D,Ship,medium,F,1
3,1,6,3,2497,D,Ship,medium,F,1
4,2,3,2,5769,B,Ship,medium,M,0
3,2,2,5,5393,D,Ship,low,F,1
3,5,7,16,1052,B,Ship,medium,F,1
4,3,3,1,4914,C,Road,low,F,1
7,4,4,9,1228,F,Ship,low,F,0
2,2,3,20,1823,D,Ship,low,F,1
5,1,5,6,1059,B,Ship,medium,F,1
4,3,3,35,1512,F,Road,low,F,1
3,3,2,19,3097,F,Road,low,M,1
5,1,3,6,4735,C,Ship,medium,F,0
7,2,4,1,1085,A,Flight,low,F,1
4,1,2,8,5276,F,Flight,medium,F,1
3,3,3,7,4068,A,Ship,medium,F,1
4,4,3,10,4347,C,Flight,low,M,1
3,5,3,4,4081,D,Road,medium,M,1
5,2,5,4,1072,A,Ship,low,F,1
5,4,2,1,5008,D,Ship,low,F,1
2,5,8,14,1396,F,Ship,low,M,1
2,2,3,1,4149,B,Road,high,F,0
3,3,3,1,5896,A,Ship,medium,F,1
3,4,2,58,1319,A,Ship,medium,F,1
4,1,3,61,3812,A,Road,medium,F,1
4,5,4,65,1818,D,Ship,low,M,1
5,5,5,3,1687,C,Road,medium,F,0
4,2,3,4,4186,F,Ship,medium,F,1
3,4,2,1,4427,F,Flight,medium,F,0
3,5,3,8,4523,A,Road,medium,F,0
3,1,3,11,1481,D,Ship,low,F,1
6,3,4,8,1741,C,Road,medium,F,0
4,1,4,2,4053,D,Flight,low,M,0
5,5,3,1,4314,B,Ship,medium,M,0
5,4,2,1,3709,D,Ship,medium,F,1
4,4,3,10,4533,C,Road,low,F,0
3,3,3,7,4439,C,Ship,low,F,0
4,2,2,9,4334,A,Ship,low,M,0
3,1,2,10,4412,F,Flight,medium,F,1
3,3,2,1,5220,F,Ship,medium,F,1
6,1,5,8,4292,A,Flight,low,F,1
4,2,5,9,1438,C,Road,medium,F,0
4,3,3,9,5994,C,Ship,low,F,1
4,3,3,2,4351,D,Flight,medium,F,0
3,3,6,5,5777,B,Ship,low,M,1
5,5,4,3,5447,A,Road,low,M,0
3,2,2,7,5357,D,Ship,medium,M,0
5,3,3,4,4134,C,Road,low,M,1
3,2,2,58,1537,B,Ship,low,F,1
2,1,3,5,5982,A,Road,low,F,1
6,3,4,5,1490,C,Flight,low,F,1
4,4,3,27,3967,A,Road,high,F,1
3,2,2,8,5492,B,Ship,low,F,0
5,4,2,2,5962,B,Road,medium,F,0
3,2,8,9,4908,C,Flight,low,F,0
3,4,2,9,5841,F,Ship,medium,F,0
7,2,4,6,1513,B,Flight,medium,F,0
4,5,3,16,2332,D,Ship,low,M,1
6,3,4,4,1716,F,Ship,medium,M,0
6,1,4,2,1326,B,Ship,medium,M,1
